lane_id,supplier_id,dc_id,distance_miles,cost_per_container,pallets_per_container,lead_time_days,lane_reliability,is_available
SUP_016_DC_DAL,SUP_016,DC_DAL,258.1,1089.28,24,1,0.897,True
SUP_016_DC_CHI,SUP_016,DC_CHI,1070.6,3169.68,22,3,0.987,True
SUP_016_DC_NY,SUP_016,DC_NY,1711.0,3608.27,20,4,0.971,True
SUP_017_DC_LA,SUP_017,DC_LA,1983.4,4100.66,24,4,0.957,True
SUP_017_DC_DAL,SUP_017,DC_DAL,730.4,1861.57,26,2,0.853,True
SUP_017_DC_CHI,SUP_017,DC_CHI,485.0,1446.44,24,1,0.984,True
SUP_017_DC_NY,SUP_017,DC_NY,822.5,1969.18,22,2,0.871,True
SUP_018_DC_LA,SUP_018,DC_LA,2803.1,5741.8,22,6,0.902,True
SUP_018_DC_DAL,SUP_018,DC_DAL,1576.3,3670.54,20,4,0.894,True
SUP_018_DC_CHI,SUP_018,DC_CHI,803.0,2304.94,26,2,0.861,True
SUP_018_DC_NY,SUP_018,DC_NY,94.1,867.28,20,1,0.946,True
SUP_019_DC_LA,SUP_019,DC_LA,2540.4,5318.65,20,6,0.902,True
SUP_019_DC_DAL,SUP_019,DC_DAL,1205.8,2951.02,26,3,0.985,True
SUP_019_DC_CHI,SUP_019,DC_CHI,489.4,1710.46,22,1,0.985,True
SUP_019_DC_NY,SUP_019,DC_NY,375.7,1517.49,26,1,0.933,True
SUP_020_DC_LA,SUP_020,DC_LA,2542.7,5267.59,20,6,0.955,True
SUP_020_DC_DAL,SUP_020,DC_DAL,1337.5,3187.9,24,3,0.875,True
SUP_020_DC_CHI,SUP_020,DC_CHI,737.2,2087.93,24,2,0.973,True
SUP_020_DC_NY,SUP_020,DC_NY,329.6,1336.95,22,1,0.918,True
SUP_021_DC_LA,SUP_021,DC_LA,976.5,2316.13,26,2,0.891,True
SUP_021_DC_DAL,SUP_021,DC_DAL,738.2,2129.5,24,2,0.91,True
SUP_021_DC_CHI,SUP_021,DC_CHI,1034.2,2457.24,26,3,0.867,True
SUP_021_DC_NY,SUP_021,DC_NY,1784.9,4056.12,22,4,0.889,True
SUP_022_DC_LA,SUP_022,DC_LA,3073.9,7745.06,24,7,0.891,True
SUP_022_DC_DAL,SUP_022,DC_DAL,1738.6,4217.94,22,4,0.927,True
SUP_022_DC_CHI,SUP_022,DC_CHI,931.5,2103.12,26,2,0.89,True
SUP_022_DC_NY,SUP_022,DC_NY,214.5,1177.87,20,1,0.866,True
SUP_023_DC_LA,SUP_023,DC_LA,1103.1,2808.93,20,3,0.983,True
SUP_023_DC_DAL,SUP_023,DC_DAL,1872.5,4636.68,26,4,0.882,True
SUP_023_DC_CHI,SUP_023,DC_CHI,1980.9,4393.12,26,4,0.91,True
SUP_023_DC_NY,SUP_023,DC_NY,2614.4,5892.91,20,6,0.88,True
SUP_024_DC_LA,SUP_024,DC_LA,2181.2,4605.04,22,5,0.907,True
SUP_024_DC_DAL,SUP_024,DC_DAL,1144.9,2874.7,20,3,0.948,True
SUP_024_DC_CHI,SUP_024,DC_CHI,278.8,1315.54,24,1,0.943,True
SUP_024_DC_NY,SUP_024,DC_NY,547.6,1942.44,22,2,0.966,True
SUP_025_DC_LA,SUP_025,DC_LA,1678.5,4251.48,24,4,0.979,True
SUP_025_DC_DAL,SUP_025,DC_DAL,989.7,2931.75,24,2,0.92,True
SUP_025_DC_CHI,SUP_025,DC_CHI,386.9,1593.22,20,1,0.935,True
SUP_025_DC_NY,SUP_025,DC_NY,1130.2,3240.66,20,3,0.888,True
